"Subject","Start Date","All Day Event","Start Time","End Time","Location","Description"
"Ottawa vs Carolina","09/27/15","FALSE","3:30 PM ","","Carolina",""
"Winnipeg vs Minnesota","09/27/15","FALSE","6:00 PM ","","Minnesota",""
"Los Angeles vs Colorado","09/27/15","FALSE","8:00 PM ","","Colorado",""
"Florida vs Dallas","09/27/15","FALSE","8:00 PM ","","Dallas",""
"Detroit vs Boston","09/28/15","FALSE","7:00 PM ","","Boston",""
"Pittsburgh vs Montréal","09/28/15","FALSE","7:00 PM ","","Montréal",""
"Washington vs NY Islanders","09/28/15","FALSE","7:00 PM ","","NY Islanders",""
"Philadelphia vs NY Rangers","09/28/15","FALSE","7:00 PM ","","NY Rangers",""
"Arizona vs Vancouver","09/28/15","FALSE","10:00 PM ","","Vancouver",""
"Toronto vs Buffalo","09/29/15","FALSE","7:00 PM ","","Buffalo",""
"Tampa Bay vs Pittsburgh","09/29/15","FALSE","7:00 PM ","","Pittsburgh",""
"Columbus vs Nashville","09/29/15","FALSE","8:00 PM ","","Nashville",""
"Ottawa vs Winnipeg","09/29/15","FALSE","8:00 PM ","","Winnipeg",""
"St. Louis vs Dallas","09/29/15","FALSE","8:30 PM ","","Dallas",""
"Colorado vs Calgary","09/29/15","FALSE","9:00 PM ","","Calgary",""
"Arizona vs Edmonton","09/29/15","FALSE","9:00 PM ","","Edmonton",""
"Anaheim vs Los Angeles","09/29/15","FALSE","10:30 PM ","","Los Angeles",""
"Vancouver vs San Jose","09/29/15","FALSE","10:30 PM ","","San Jose",""
"Washington vs Carolina","09/30/15","FALSE","7:00 PM ","","Carolina",""
"Boston vs NY Rangers","09/30/15","FALSE","7:00 PM ","","NY Rangers",""
"New Jersey vs Philadelphia","09/30/15","FALSE","7:00 PM ","","Philadelphia",""
"Detroit vs Pittsburgh","09/30/15","FALSE","7:00 PM ","","Pittsburgh",""
"Ottawa vs Montréal","10/1/15","FALSE","7:30 PM ","","Montréal",""
"Dallas vs Tampa Bay","10/1/15","FALSE","7:30 PM ","","Tampa Bay",""
"Buffalo vs Minnesota","10/1/15","FALSE","8:00 PM ","","Minnesota",""
"Chicago vs St. Louis","10/1/15","FALSE","8:00 PM ","","St. Louis",""
"Calgary vs Winnipeg","10/1/15","FALSE","8:00 PM ","","Winnipeg",""
"Vancouver vs Edmonton","10/1/15","FALSE","9:00 PM ","","Edmonton",""
"Colorado vs Anaheim","10/1/15","FALSE","10:00 PM ","","Anaheim",""
"Columbus vs Buffalo","10/2/15","FALSE","7:00 PM ","","Buffalo",""
"Pittsburgh vs Carolina","10/2/15","FALSE","7:00 PM ","","Carolina",""
"Philadelphia vs New Jersey","10/2/15","FALSE","7:00 PM ","","New Jersey",""
"Boston vs Washington","10/2/15","FALSE","7:00 PM ","","Washington",""
"Toronto vs Detroit","10/2/15","FALSE","7:30 PM ","","Detroit",""
"San Jose vs Arizona","10/2/15","FALSE","10:00 PM ","","Arizona",""
"Nashville vs Columbus","10/3/15","FALSE","7:00 PM ","","Columbus",""
"Tampa Bay vs Florida","10/3/15","FALSE","7:00 PM ","","Florida",""
"Montréal vs Ottawa","10/3/15","FALSE","7:00 PM ","","Ottawa",""
"Detroit vs Toronto","10/3/15","FALSE","7:00 PM ","","Toronto",""
"Dallas vs Chicago","10/3/15","FALSE","8:30 PM ","","Chicago",""
"San Jose vs Anaheim","10/3/15","FALSE","9:00 PM ","","Anaheim",""
"Winnipeg vs Calgary","10/3/15","FALSE","9:00 PM ","","Calgary",""
"Colorado vs Los Angeles","10/3/15","FALSE","10:00 PM ","","Los Angeles",""
"Edmonton vs Vancouver","10/3/15","FALSE","10:00 PM ","","Vancouver",""
"NY Islanders vs Washington","10/4/15","FALSE","5:00 PM ","","Washington",""
